Tracking No,Scan Type,Scan Date,Scan Date Only,Latitude,Longitude,Run No.
LA115968840NZ,Out for Delivery,18/03/2019 08:22:32,18/03/19,-41.2585175,174.7881361,WCP205  
91094210325010563802,Out for Delivery,18/03/2019 08:22:43,18/03/19,-41.2585175,174.7881361,WCP205  
91094210325010564618,Out for Delivery,18/03/2019 08:22:50,18/03/19,-41.2585175,174.7881361,WCP205  
4698590000167201WLG001PS,Out for Delivery,18/03/2019 08:22:58,18/03/19,-41.2585175,174.7881361,WCP205  
EE046838056NZ,Out for Delivery,18/03/2019 08:23:05,18/03/19,-41.2585175,174.7881361,WCP205  
LZ926296700NZ,Out for Delivery,18/03/2019 08:23:17,18/03/19,-41.2585175,174.7881361,WCP205  
LZ926297055NZ,Out for Delivery,18/03/2019 08:23:29,18/03/19,-41.2585175,174.7881361,WCP205  
EE046837237NZ,Out for Delivery,18/03/2019 08:23:38,18/03/19,-41.2585175,174.7881361,WCP205  
FF158585269NZ,Out for Delivery,18/03/2019 08:23:55,18/03/19,-41.2585175,174.7881361,WCP205  
LY120017657NZ,Out for Delivery,18/03/2019 08:23:57,18/03/19,-41.2585175,174.7881361,WCP205  
LY120006274NZ,Out for Delivery,18/03/2019 08:24:26,18/03/19,-41.258518,174.788135,WCP205  
SA803587879NZ,Out for Delivery,18/03/2019 08:24:42,18/03/19,-41.258518,174.788135,WCP205  
DP733394018NZ,Out for Delivery,18/03/2019 08:24:57,18/03/19,-41.258518,174.788135,WCP205  
LZ965567418NZ,Out for Delivery,18/03/2019 08:25:18,18/03/19,-41.258518,174.788135,WCP205  
4689440000116401WLG002AN,Out for Delivery,18/03/2019 08:26:11,18/03/19,-41.2585178,174.7881346,WCP205  
DP029549575NZ,Out for Delivery,18/03/2019 08:26:36,18/03/19,-41.2585178,174.7881346,WCP205  
CO283009218NZ,Out for Delivery,18/03/2019 08:26:56,18/03/19,-41.2585178,174.7881346,WCP205  
LZ965581264NZ,Out for Delivery,18/03/2019 08:27:25,18/03/19,-41.2585177,174.7881344,WCP205  
FF158599197NZ,Out for Delivery,18/03/2019 08:27:40,18/03/19,-41.2585177,174.7881344,WCP205  
CO289245767NZ,Out for Delivery,18/03/2019 08:27:43,18/03/19,-41.2585177,174.7881344,WCP205  
RP163926310NZ,Out for Delivery,18/03/2019 08:28:20,18/03/19,-41.2585176,174.788133,WCP205  
91094210325010568346,Out for Delivery,18/03/2019 08:28:44,18/03/19,-41.2585176,174.788133,WCP205  
91094210325010562507,Out for Delivery,18/03/2019 08:28:58,18/03/19,-41.2585176,174.788133,WCP205  
91094210325010562726,Out for Delivery,18/03/2019 08:29:12,18/03/19,-41.2585176,174.788133,WCP205  
8343793450068501WLG001AS,Out for Delivery,18/03/2019 08:29:56,18/03/19,-41.2585176,174.788133,WCP205  
8343303452028201WLG001QN,Out for Delivery,18/03/2019 08:30:09,18/03/19,-41.2585176,174.788133,WCP205  
LZ970596669NZ,Out for Delivery,18/03/2019 08:30:38,18/03/19,-41.2585176,174.788133,WCP205  
LZ965633854NZ,Out for Delivery,18/03/2019 08:30:52,18/03/19,-41.2585176,174.788133,WCP205  
CO283005410NZ,Out for Delivery,18/03/2019 08:30:59,18/03/19,-41.2585176,174.788133,WCP205  
4517650035674201WLG002PN,Out for Delivery,18/03/2019 08:31:12,18/03/19,-41.2585176,174.788133,WCP205  
DP733428723NZ,Out for Delivery,18/03/2019 08:31:26,18/03/19,-41.2585176,174.788133,WCP205  
CO283004839NZ,Out for Delivery,18/03/2019 08:31:50,18/03/19,-41.2585176,174.788133,WCP205  
RP157192257NZ,Out for Delivery,18/03/2019 08:32:04,18/03/19,-41.2585176,174.788133,WCP205  
LPKEN000000410088885,Out for Delivery,18/03/2019 08:32:12,18/03/19,-41.2585176,174.788133,WCP205  
4620410000081801WLG020AN,Out for Delivery,18/03/2019 08:32:49,18/03/19,-41.2585198,174.7880973,WCP205  
4620410000081201WLG020AN,Out for Delivery,18/03/2019 08:32:51,18/03/19,-41.2585198,174.7880973,WCP205  
4597560000755801WLG002BS,Out for Delivery,18/03/2019 08:33:52,18/03/19,-41.2585198,174.7880973,WCP205  
DP733394211NZ,Out for Delivery,18/03/2019 08:34:08,18/03/19,-41.2585198,174.7880973,WCP205  
DP733418068NZ,Out for Delivery,18/03/2019 08:34:23,18/03/19,-41.2585198,174.7880973,WCP205  
